100	3000
74	21	-40
58	23	83
60	69	97
25	43	50
62	21	58
18	97	10
13	79	33
16	20	84
2	22	36
87	91	69
70	39	72
89	39	14
9	12	-44
91	14	17
54	76	11
7	98	-45
23	92	-31
29	14	-21
62	84	55
54	58	79
100	46	-37
39	38	64
54	58	-6
96	32	16
40	79	-15
1	66	32
95	37	79
53	26	83
10	94	-26
88	45	-1
52	56	66
97	32	-40
60	32	92
55	32	100
42	92	-42
94	41	89
60	19	-37
4	71	99
26	25	47
82	85	7
99	3	25
20	31	21
81	98	-2
11	67	12
29	92	2
92	35	-5
39	26	49
58	95	-43
87	98	-6
34	8	28
43	75	92
77	26	79
1	22	18
89	82	-43
79	95	68
10	14	64
18	95	8
11	35	15
55	21	42
13	71	-24
86	99	9
62	35	-1
46	30	89
59	43	55
89	35	16
33	39	-3
33	78	77
28	3	8
72	12	-28
42	30	79
89	65	98
13	45	-38
90	80	89
13	39	-33
54	64	-34
86	22	57
5	32	95
99	32	62
70	21	-14
76	8	13
87	17	27
23	69	48
71	66	29
57	19	-47
57	65	7
31	83	38
74	55	-16
7	91	31
90	62	-19
27	83	78
74	22	-5
9	97	34
39	56	6
67	5	82
11	19	-6
16	73	-18
100	78	-38
64	19	23
60	41	14
16	48	16
86	69	-10
78	1	-6
87	70	37
18	32	-42
46	24	85
96	56	30
96	44	4
99	26	17
62	55	62
56	44	43
58	65	96
50	19	-39
20	25	-47
73	95	84
93	78	2
53	25	61
54	68	29
9	39	81
65	69	-48
62	70	43
81	61	-40
24	22	21
62	37	-28
6	70	36
85	38	-30
2	28	99
86	47	79
40	5	32
3	38	96
93	64	32
2	36	-3
42	81	-50
4	100	6
90	95	-22
33	93	98
58	49	-47
77	29	-24
86	15	-6
52	39	51
48	95	-18
70	76	97
54	96	82
87	22	4
78	47	-6
99	85	99
51	84	-5
29	32	66
13	27	17
13	40	95
74	73	84
17	69	15
9	79	-2
49	85	-24
4	18	15
43	85	11
46	57	4
4	92	96
49	5	95
19	61	34
94	38	43
54	38	92
60	96	38
84	78	97
20	22	-21
57	49	49
95	83	13
92	21	73
87	52	43
14	39	8
24	15	64
60	99	96
31	30	53
12	28	72
18	83	45
4	26	37
13	50	8
5	35	-3
62	92	-8
74	25	45
50	30	-48
13	74	26
7	10	95
30	80	3
2	56	10
51	24	54
84	26	0
15	43	50
40	61	-16
16	58	58
9	84	90
61	45	86
9	14	-13
76	80	90
9	76	56
14	32	43
59	8	-27
26	88	66
48	83	-15
99	94	98
36	28	54
42	40	-12
40	41	53
74	63	90
4	24	17
23	56	-20
53	40	-21
35	32	91
3	45	-13
16	76	95
77	6	96
30	49	-43
